latitude,longitude,uuid,kreis_name,kreis_schluessel,gemeindeverband_name,gemeindeverband_schluessel,gemeinde_name,gemeinde_schluessel,gemeindeteil_name,gemeindeteil_schluessel,strasse_name,strasse_schluessel,hausnummer,hausnummer_zusatz,postleitzahl,art,bezeichnung,betreiber,barrierefrei,oeffnungszeiten,telefon_festnetz,telefon_mobil,email,website
54.0888187275998,12.1427360214917,c20ab2de-831c-11e7-841c-0050569946ac,Rostock,"13003","Rostock, Hanse- und Universitätsstadt","130030000","Rostock, Hanse- und Universitätsstadt","130030000000",Stadtmitte,"0019",Weißgerberstr.,"09640",6,,"18055",Nahversorger,Altstadt-Kaufeck,,0,"Mo-Fr,So,Feiertags 11:00-19:00",+49 381 2038686,,,
54.091788214393,12.1229097471715,6d1996b8-fec2-11e4-b919-0050569b7e95,Rostock,"13003","Rostock, Hanse- und Universitätsstadt","130030000","Rostock, Hanse- und Universitätsstadt","130030000000",Kröpeliner-Tor-Vorstadt,"0016",Friedrichstr.,"02620",22,,"18057",Discounter,NETTO,Netto ApS & Co. KG,1,Mo-Sa 07:00-21:00,,+49 180 2551212,service@netto.de,https://netto.de
54.0877207910952,12.1145428276975,f3adb7e7-1e28-4520-9237-18cf5450bbaa,Rostock,"13003","Rostock, Hanse- und Universitätsstadt","130030000","Rostock, Hanse- und Universitätsstadt","130030000000",Kröpeliner-Tor-Vorstadt,"0016",Waldemarstr.,"09410",60,,"18057",Nahversorger,Los Spätos Hermanos,,0,ab 16:00,,,,https://www.instagram.com/losspaetoshermanos/?hl=de
54.0909994050311,12.1120888773103,6cd02af0-fec2-11e4-b902-0050569b7e95,Rostock,"13003","Rostock, Hanse- und Universitätsstadt","130030000","Rostock, Hanse- und Universitätsstadt","130030000000",Kröpeliner-Tor-Vorstadt,"0016",Budapester Str.,"01640",80,a,"18057",Discounter,Netto Marken-Discount,Netto Marken-Discount AG & Co. KG,1,Mo-Sa 07:00-21:00,+49 800 2000015,,info@netto-online.de,https://www.netto-online.de/
54.0729934630677,12.1117217998128,6d1cc176-fec2-11e4-b91a-0050569b7e95,Rostock,"13003","Rostock, Hanse- und Universitätsstadt","130030000","Rostock, Hanse- und Universitätsstadt","130030000000",Südstadt,"0017",Brahestr.,"01600",44,,"18059",Discounter,NETTO,Netto ApS & Co. KG,1,Mo-Sa 07:00-20:00,,+49 180 2551212,service@netto.de,https://netto.de
54.0919452583423,12.1117946025951,0b5730f8-51a3-11e7-921c-0050569946ac,Rostock,"13003","Rostock, Hanse- und Universitätsstadt","130030000","Rostock, Hanse- und Universitätsstadt","130030000000",Kröpeliner-Tor-Vorstadt,"0016",Doberaner Str.,"01860",57,,"18057",Nahversorger,Asia Markt,,0,,+49 381 2002576,,,
54.0880031988808,12.124781479354,0c1e2e06-51a3-11e7-921d-0050569946ac,Rostock,"13003","Rostock, Hanse- und Universitätsstadt","130030000","Rostock, Hanse- und Universitätsstadt","130030000000",Kröpeliner-Tor-Vorstadt,"0016",Doberaner Str.,"01860",8,,"18057",Nahversorger,Mini-Markt Al-Amir,,,,,,,
54.0822693178561,12.1948419426773,e71e541a-b69d-11ea-a90b-005056b3c6e4,Rostock,"13003","Rostock, Hanse- und Universitätsstadt","130030000","Rostock, Hanse- und Universitätsstadt","130030000000",Brinckmansdorf,"0020",Timmermannsstrat,"11130",12,,"18055",Abholgroßmarkt,Handelshof,Handelshof Rostock GmbH & Co.KG,1,"Mo-Fr 07:00-20:00; Sa 08:00-18:00",+49 381 6660730,,rostock@handelshof.de,https://www.handelshof.de/cash-carry-maerkte/marktauswahl/market/handelshof-rostock
54.0907385232794,12.1144331946284,bdf8aa93-f5f9-4b7a-9b4f-565310c8c7cb,Rostock,"13003","Rostock, Hanse- und Universitätsstadt","130030000","Rostock, Hanse- und Universitätsstadt","130030000000",Kröpeliner-Tor-Vorstadt,"0016",Doberaner Str.,"01860",43,d,"18057",Bio-Nahversorger,Mitgliederladen des Ökohauses,Ökohaus e.V.,0,"Mo, Do 14:00-18:00; Di 14:00-19:00; Fr 10:00-18:00",+49 381 21001005,,mitgliederladen@oekohaus-rostock.de,https://oekohaus-rostock.de/mila/
54.0870706174089,12.120256072796,dab6042c-557d-11e7-8068-0050569946ac,Rostock,"13003","Rostock, Hanse- und Universitätsstadt","130030000","Rostock, Hanse- und Universitätsstadt","130030000000",Kröpeliner-Tor-Vorstadt,"0016",Wismarsche Str.,"09860",62,,"18057",Nahversorger,IMAN-Markt,,,Mo-Sa 08:00-20:00,,,,
